順位,コース,着別度数,勝率,連対率,複勝率,単勝回収値,複勝回収値,単勝適正回収値,平均着順,平均人気,平均単勝オッズ,単勝平均,複勝平均,マーク数,マーク率,２着率,３着率,平均タイム,平均1Fタイム,平均速度
1,中山・ダ1800, 79- 60- 54-247/440,18.0%,31.6%,43.9%,94,81,87.7,5.2着,3.3人気,9.1,527,186,0,0.0%,13.6%,12.3%,115.71,12.86,56.00
2,京都・ダ1800, 63- 62- 54-203/382,16.5%,32.7%,46.9%,82,87,79.0,4.6着,3.3人気,8.8,499,189,0,0.0%,16.2%,14.1%,114.44,12.72,56.63
3,中山・ダ1200, 55- 53- 42-235/385,14.3%,28.1%,39.0%,60,72,69.3,5.4着,3.5人気,10.5,426,185,0,0.0%,13.8%,10.9%,72.58,12.10,59.52
4,東京・ダ1600, 53- 51- 43-180/327,16.2%,31.8%,45.0%,89,78,80.1,5.2着,3.4人気,9.3,550,176,0,0.0%,15.6%,13.1%,98.43,12.30,58.52
5,阪神・ダ1800, 50- 47- 40-148/285,17.5%,34.0%,48.1%,77,82,79.9,4.5着,3.2人気,7.7,444,172,0,0.0%,16.5%,14.0%,114.96,12.77,56.37
6,新潟・ダ1800, 44- 31- 22-126/223,19.7%,33.6%,43.5%,93,85,98.2,5.2着,3.3人気,9.0,473,196,0,0.0%,13.9%,9.9%,115.04,12.78,56.33
7,東京・芝1600, 41- 27- 31-117/216,19.0%,31.5%,45.8%,88,77,88.3,4.6着,3.1人気,9.5,464,170,0,0.0%,12.5%,14.4%,94.63,11.83,60.87
8,京都・ダ1400, 40- 32- 27-139/238,16.8%,30.3%,41.6%,66,74,79.0,5.1着,3.1人気,7.7,395,180,0,0.0%,13.4%,11.3%,85.83,12.26,58.72
9,東京・ダ1400, 38- 39- 32-170/279,13.6%,27.6%,39.1%,59,68,66.6,5.3着,3.4人気,9.9,439,175,0,0.0%,14.0%,11.5%,85.66,12.24,58.84
10,中山・芝1600, 34- 35- 14-110/193,17.6%,35.8%,43.0%,82,85,89.2,4.8着,3.5人気,9.5,466,200,0,0.0%,18.1%,7.3%,94.69,11.84,60.83
11,東京・芝1800, 33- 31- 26- 91/181,18.2%,35.4%,49.7%,68,78,78.2,4.8着,2.9人気,7.2,375,162,0,0.0%,17.1%,14.4%,107.77,11.97,60.13
12,小倉・ダ1700, 31- 31- 26-124/212,14.6%,29.2%,41.5%,69,80,71.9,5.3着,3.4人気,9.0,477,194,0,0.0%,14.6%,12.3%,106.54,12.53,57.45
13,小倉・芝1200, 31- 31- 20-141/223,13.9%,27.8%,36.8%,104,79,78.9,6.0着,3.9人気,10.7,750,220,0,0.0%,13.9%,9.0%,69.64,11.61,62.03
14,福島・ダ1700, 31- 24- 18-108/181,17.1%,30.4%,40.3%,69,69,82.2,5.3着,3.4人気,8.6,407,171,0,0.0%,13.3%,9.9%,107.34,12.63,57.01
15,新潟・ダ1200, 31- 22- 27-105/185,16.8%,28.6%,43.2%,64,84,78.5,5.1着,3.4人気,10.7,388,194,0,0.0%,11.9%,14.6%,72.67,12.11,59.44
16,札幌・ダ1700, 31- 17- 28- 76/152,20.4%,31.6%,50.0%,116,104,100.1,4.4着,3.2人気,8.0,573,208,0,0.0%,11.2%,18.4%,107.11,12.60,57.14
17,京都・ダ1200, 30- 25- 22-112/189,15.9%,29.1%,40.7%,98,77,80.2,5.2着,3.8人気,12.8,619,191,0,0.0%,13.2%,11.6%,72.92,12.15,59.25
18,中京・芝2000, 28- 28- 16- 68/140,20.0%,40.0%,51.4%,88,82,89.2,4.3着,3.1人気,8.3,443,167,0,0.0%,20.0%,11.4%,121.68,12.17,59.17
