順位,コース,着別度数,勝率,連対率,複勝率,単勝回収値,複勝回収値,単勝適正回収値,平均着順,平均人気,平均単勝オッズ,単勝平均,複勝平均,マーク数,マーク率,２着率,３着率,平均タイム,平均1Fタイム,平均速度
1,中山・ダ1800, 98- 68- 51-223/440,22.3%,37.7%,49.3%,64,72,73.9,5.0着,2.4人気,6.8,288,147,0,0.0%,15.5%,11.6%,115.64,12.85,56.03
2,京都・ダ1800, 91- 70- 44-194/399,22.8%,40.4%,51.4%,89,78,77.0,4.6着,2.5人気,6.6,392,155,0,0.0%,17.5%,11.0%,114.42,12.71,56.64
3,中山・ダ1200, 88- 81- 35-183/387,22.7%,43.7%,52.7%,74,82,80.9,5.0着,2.6人気,6.5,327,156,0,0.0%,20.9%,9.0%,72.48,12.08,59.60
4,東京・ダ1600, 84- 54- 43-172/353,23.8%,39.1%,51.3%,71,80,81.4,4.9着,2.7人気,8.2,300,158,0,0.0%,15.3%,12.2%,98.35,12.29,58.57
5,阪神・ダ1800, 62- 61- 30-143/296,20.9%,41.6%,51.7%,99,89,74.4,4.4着,2.6人気,6.7,476,173,0,0.0%,20.6%,10.1%,114.97,12.77,56.36
6,京都・ダ1400, 57- 35- 31-136/259,22.0%,35.5%,47.5%,81,79,82.2,5.2着,2.7人気,6.3,368,167,0,0.0%,13.5%,12.0%,85.81,12.26,58.73
7,中京・ダ1800, 57- 30- 29-102/218,26.1%,39.9%,53.2%,75,81,84.7,4.8着,2.5人気,5.7,287,155,0,0.0%,13.8%,13.3%,115.06,12.78,56.32
8,小倉・芝1200, 54- 31- 20-126/231,23.4%,36.8%,45.5%,96,79,92.9,5.5着,2.6人気,6.0,411,176,0,0.0%,13.4%,8.7%,69.54,11.59,62.12
9,東京・芝1800, 50- 34- 23- 81/188,26.6%,44.7%,56.9%,78,84,86.0,4.2着,2.7人気,7.5,296,148,0,0.0%,18.1%,12.2%,107.60,11.96,60.22
10,小倉・ダ1700, 50- 32- 24-110/216,23.1%,38.0%,49.1%,89,92,92.7,5.0着,2.8人気,6.2,385,189,0,0.0%,14.8%,11.1%,106.50,12.53,57.46
11,東京・芝1600, 50- 25- 33-105/213,23.5%,35.2%,50.7%,80,81,80.9,4.6着,2.9人気,9.3,344,161,0,0.0%,11.7%,15.5%,94.54,11.82,60.93
12,東京・ダ1400, 48- 49- 26-163/286,16.8%,33.9%,43.0%,55,71,65.2,5.3着,2.9人気,7.6,330,165,0,0.0%,17.1%,9.1%,85.78,12.25,58.76
13,新潟・ダ1800, 46- 39- 26-123/234,19.7%,36.3%,47.4%,59,70,67.1,5.0着,2.4人気,5.3,305,148,0,0.0%,16.7%,11.1%,114.93,12.77,56.38
14,中山・芝1600, 45- 34- 23-102/204,22.1%,38.7%,50.0%,72,78,74.7,4.8着,2.8人気,7.5,329,159,0,0.0%,16.7%,11.3%,94.62,11.83,60.88
15,京都・ダ1200, 44- 35- 21- 97/197,22.3%,40.1%,50.8%,90,88,86.4,4.9着,2.7人気,6.8,406,174,0,0.0%,17.8%,10.7%,72.81,12.14,59.33
16,京都・芝2000, 42- 23- 23- 72/160,26.3%,40.6%,55.0%,80,78,93.4,4.2着,2.9人気,6.8,308,147,0,0.0%,14.4%,14.4%,121.53,12.15,59.25
17,福島・ダ1700, 40- 34- 17- 97/188,21.3%,39.4%,48.4%,82,78,79.1,4.7着,2.5人気,5.6,386,163,0,0.0%,18.1%,9.0%,107.23,12.62,57.07
18,福島・芝1200, 39- 30- 27- 80/176,22.2%,39.2%,54.5%,93,96,82.3,4.8着,2.7人気,6.3,421,178,0,0.0%,17.0%,15.3%,69.95,11.66,61.76
19,中京・芝2000, 38- 25- 16- 71/150,25.3%,42.0%,52.7%,85,80,86.9,4.2着,2.5人気,6.1,338,154,0,0.0%,16.7%,10.7%,121.62,12.16,59.20
20,函館・芝1200, 36- 17- 14- 71/138,26.1%,38.4%,48.6%,86,77,85.6,4.7着,2.3人気,4.9,332,161,0,0.0%,12.3%,10.1%,69.50,11.58,62.16
21,東京・芝1400, 34- 28- 21- 79/162,21.0%,38.3%,51.2%,67,76,75.2,4.8着,2.8人気,7.8,322,152,0,0.0%,17.3%,13.0%,81.94,11.71,61.51
22,阪神・ダ1400, 34- 28- 18-106/186,18.3%,33.3%,43.0%,56,71,69.4,5.5着,2.9人気,8.2,310,167,0,0.0%,15.1%,9.7%,85.91,12.27,58.66
23,札幌・ダ1700, 34- 19- 19- 87/159,21.4%,33.3%,45.3%,58,66,82.0,4.9着,2.7人気,6.4,276,148,0,0.0%,11.9%,11.9%,107.35,12.63,57.01
24,中山・芝2000, 33- 24- 26- 75/158,20.9%,36.1%,52.5%,61,84,71.3,4.8着,2.5人気,6.0,295,161,0,0.0%,15.2%,16.5%,121.33,12.13,59.34
25,新潟・ダ1200, 32- 33- 26- 92/183,17.5%,35.5%,49.7%,57,85,59.8,5.1着,2.4人気,5.2,327,173,0,0.0%,18.0%,14.2%,72.66,12.11,59.46
26,福島・ダ1150, 32- 17- 11- 57/117,27.4%,41.9%,51.3%,106,96,105.8,5.2着,2.6人気,6.0,391,188,0,0.0%,14.5%,9.4%,69.65,12.11,59.44
27,阪神・芝1600外, 31- 23- 10- 75/139,22.3%,38.8%,46.0%,83,77,88.0,4.5着,3.0人気,7.4,375,171,0,0.0%,16.5%,7.2%,94.35,11.79,61.05
28,阪神・ダ1200, 30- 20- 18- 65/133,22.6%,37.6%,51.1%,75,84,75.2,4.8着,2.3人気,6.5,334,165,0,0.0%,15.0%,13.5%,72.95,12.16,59.22
29,小倉・芝1800, 30- 16- 11- 73/130,23.1%,35.4%,43.8%,87,64,86.2,5.4着,2.9人気,9.1,379,154,0,0.0%,12.3%,8.5%,109.42,12.16,59.22
30,東京・芝2000, 28- 24- 19- 58/129,21.7%,40.3%,55.0%,66,81,77.3,4.1着,2.9人気,11.3,309,150,0,0.0%,18.6%,14.7%,120.69,12.07,59.66
31,京都・芝1800外, 26- 27- 20- 66/139,18.7%,38.1%,52.5%,62,75,68.2,4.5着,2.7人気,6.6,336,149,0,0.0%,19.4%,14.4%,107.85,11.98,60.08
32,東京・ダ2100, 26- 16- 16- 60/118,22.0%,35.6%,49.2%,83,78,87.0,5.2着,2.9人気,7.4,378,160,0,0.0%,13.6%,13.6%,132.87,12.65,56.90
33,中京・ダ1200, 26- 16-  7- 54/103,25.2%,40.8%,47.6%,76,77,89.2,5.4着,2.5人気,5.9,304,163,0,0.0%,15.5%,6.8%,72.96,12.16,59.21
34,中京・芝1400, 24- 22- 10- 39/ 95,25.3%,48.4%,58.9%,126,99,95.8,4.8着,2.7人気,6.3,500,169,0,0.0%,23.2%,10.5%,81.64,11.66,61.74
35,京都・芝1600, 24- 20-  9- 56/109,22.0%,40.4%,48.6%,83,73,80.5,4.6着,2.5人気,5.6,380,152,0,0.0%,18.3%,8.3%,95.43,11.93,60.36
36,新潟・芝1800外, 24- 16- 15- 48/103,23.3%,38.8%,53.4%,103,92,87.8,4.9着,3.0人気,8.0,443,173,0,0.0%,15.5%,14.6%,108.34,12.04,59.81
37,京都・ダ1900, 24- 12- 12- 55/103,23.3%,35.0%,46.6%,81,71,79.1,4.6着,2.6人気,6.8,351,152,0,0.0%,11.7%,11.7%,120.76,12.71,56.64
38,小倉・ダ1000, 24- 11- 10- 53/ 98,24.5%,35.7%,45.9%,104,81,91.7,4.8着,2.7人気,6.4,426,178,0,0.0%,11.2%,10.2%,59.05,11.81,60.97
39,中京・ダ1400, 23- 17- 22- 88/150,15.3%,26.7%,41.3%,51,69,61.1,5.6着,2.7人気,7.2,339,167,0,0.0%,11.3%,14.7%,85.65,12.24,58.84
40,函館・ダ1700, 23- 16- 17- 59/115,20.0%,33.9%,48.7%,69,73,74.3,4.7着,2.6人気,5.7,349,150,0,0.0%,13.9%,14.8%,106.35,12.51,57.55
41,阪神・芝2000, 22- 21- 19- 43/105,21.0%,41.0%,59.0%,55,77,64.1,4.0着,2.4人気,5.4,265,138,0,0.0%,20.0%,18.1%,121.15,12.12,59.43
42,福島・芝1800, 22-  8- 15- 56/101,21.8%,29.7%,44.6%,88,74,79.9,5.2着,2.7人気,5.5,405,167,0,0.0%,7.9%,14.9%,109.22,12.14,59.33
43,小倉・芝2000, 21- 16- 11- 76/124,16.9%,29.8%,38.7%,91,81,76.8,5.4着,3.2人気,7.8,539,212,0,0.0%,12.9%,8.9%,122.28,12.23,58.88
44,新潟・芝1600外, 20- 11- 13- 42/ 86,23.3%,36.0%,51.2%,89,99,74.6,4.9着,2.8人気,7.5,383,200,0,0.0%,12.8%,15.1%,95.28,11.91,60.46
45,中山・芝1800, 18- 17-  9- 64/108,16.7%,32.4%,40.7%,58,65,62.6,5.7着,2.8人気,7.0,354,166,0,0.0%,15.7%,8.3%,109.21,12.13,59.34
46,阪神・芝1800外, 18- 14- 10- 46/ 88,20.5%,36.4%,47.7%,50,66,69.7,4.6着,2.5人気,6.1,246,149,0,0.0%,15.9%,11.4%,107.00,11.89,60.56
47,京都・芝1200, 18- 10-  6- 46/ 80,22.5%,35.0%,42.5%,87,85,92.5,5.2着,2.9人気,6.9,388,208,0,0.0%,12.5%,7.5%,69.07,11.51,62.54
48,函館・ダ1000, 17- 14- 10- 25/ 66,25.8%,47.0%,62.1%,65,86,79.2,3.6着,2.4人気,5.0,255,144,0,0.0%,21.2%,15.2%,59.40,11.88,60.60
49,中京・芝1600, 16- 22- 13- 71/122,13.1%,31.1%,41.8%,43,65,48.1,5.3着,2.7人気,6.1,331,160,0,0.0%,18.0%,10.7%,95.05,11.88,60.60
50,札幌・芝1800, 16- 14-  6- 33/ 69,23.2%,43.5%,52.2%,72,79,82.3,3.9着,2.8人気,6.6,314,153,0,0.0%,20.3%,8.7%,110.27,12.25,58.77
51,函館・芝1800, 16- 10-  5- 35/ 66,24.2%,39.4%,47.0%,74,70,89.0,5.2着,2.7人気,6.2,309,150,0,0.0%,15.2%,7.6%,108.89,12.10,59.51
52,小倉・障2860芝, 16-  9- 13- 28/ 66,24.2%,37.9%,57.6%,85,80,69.0,3.7着,2.1人気,4.6,352,144,0,0.0%,13.6%,19.7%,194.03,13.57,53.07
53,京都・芝1600外, 15- 17- 10- 49/ 91,16.5%,35.2%,46.2%,95,87,71.4,5.3着,3.4人気,11.3,579,189,0,0.0%,18.7%,11.0%,94.07,11.76,61.23
54,東京・芝2400, 15- 16- 10- 47/ 88,17.0%,35.2%,46.6%,91,82,65.5,5.0着,3.3人気,9.7,539,182,0,0.0%,18.2%,11.4%,146.46,12.21,58.99
55,中山・芝1200, 15- 14- 13- 65/107,14.0%,27.1%,39.3%,59,69,55.9,5.4着,2.9人気,7.4,423,176,0,0.0%,13.1%,12.1%,68.75,11.46,62.84
56,東京・ダ1300, 15-  7- 10- 40/ 72,20.8%,30.6%,44.4%,69,71,77.1,4.9着,2.9人気,7.2,331,160,0,0.0%,9.7%,13.9%,79.45,12.22,58.90
57,阪神・芝1400, 14- 15-  8- 37/ 74,18.9%,39.2%,50.0%,82,89,79.1,4.9着,2.7人気,6.1,436,179,0,0.0%,20.3%,10.8%,81.50,11.64,61.84
58,新潟・芝1400, 14-  8- 10- 45/ 77,18.2%,28.6%,41.6%,81,71,68.9,5.3着,2.7人気,6.1,446,177,0,0.0%,10.4%,13.0%,82.41,11.77,61.16
59,札幌・芝2000, 13- 11-  7- 38/ 69,18.8%,34.8%,44.9%,74,77,72.4,4.7着,2.7人気,5.5,395,172,0,0.0%,15.9%,10.1%,122.54,12.25,58.75
60,札幌・ダ1000, 13- 11-  5- 24/ 53,24.5%,45.3%,54.7%,72,80,77.3,4.1着,2.2人気,4.5,295,147,0,0.0%,20.8%,9.4%,59.61,11.92,60.39
61,福島・芝2000, 13-  1- 13- 64/ 91,14.3%,15.4%,29.7%,52,52,59.0,6.5着,3.2人気,8.5,368,177,0,0.0%,1.1%,14.3%,121.75,12.18,59.14
62,新潟・芝1000, 12-  9-  6- 47/ 74,16.2%,28.4%,36.5%,87,71,80.6,6.4着,3.4人気,8.7,539,195,0,0.0%,12.2%,8.1%,56.09,11.22,64.19
63,阪神・芝2400外, 12-  6-  6- 21/ 45,26.7%,40.0%,53.3%,71,67,88.1,4.3着,2.7人気,7.8,269,132,0,0.0%,13.3%,13.3%,147.19,12.27,58.70
64,京都・芝1400外, 11- 14- 12- 48/ 85,12.9%,29.4%,43.5%,57,87,56.1,5.1着,3.0人気,7.1,445,206,0,0.0%,16.5%,14.1%,81.59,11.66,61.77
65,中京・ダ1900, 11-  9-  5- 29/ 54,20.4%,37.0%,46.3%,98,88,73.8,4.9着,2.6人気,7.4,485,192,0,0.0%,16.7%,9.3%,121.18,12.76,56.45
66,阪神・ダ2000, 11-  3-  5- 19/ 38,28.9%,36.8%,50.0%,113,87,91.8,4.7着,2.5人気,5.4,391,175,0,0.0%,7.9%,13.2%,127.55,12.75,56.45
67,札幌・芝1500, 10- 12- 10- 39/ 71,14.1%,31.0%,45.1%,41,72,53.6,4.8着,2.8人気,7.4,297,162,0,0.0%,16.9%,14.1%,89.99,12.00,60.01
68,阪神・芝1200, 10- 11-  9- 25/ 55,18.2%,38.2%,54.5%,100,93,68.5,4.5着,2.5人気,6.6,553,171,0,0.0%,20.0%,16.4%,69.16,11.53,62.47
69,京都・芝2400外, 10-  8- 10- 25/ 53,18.9%,34.0%,52.8%,61,77,73.4,4.5着,3.0人気,10.4,328,158,0,0.0%,15.1%,18.9%,146.36,12.20,59.03
70,中山・芝2200, 10-  8-  6- 33/ 57,17.5%,31.6%,42.1%,59,83,75.6,5.0着,3.4人気,11.7,339,198,0,0.0%,14.0%,10.5%,134.24,12.20,59.00
71,札幌・芝1200,  9- 13- 15- 39/ 76,11.8%,28.9%,48.7%,49,81,48.7,5.2着,2.8人気,6.6,416,177,0,0.0%,17.1%,19.7%,69.85,11.64,61.85
72,中京・芝1200,  9- 11-  7- 30/ 57,15.8%,35.1%,47.4%,52,75,64.4,5.7着,3.1人気,6.9,334,167,0,0.0%,19.3%,12.3%,69.08,11.51,62.54
73,中京・芝2200,  9-  7-  8- 25/ 49,18.4%,32.7%,49.0%,56,65,72.3,4.3着,3.0人気,7.0,308,145,0,0.0%,14.3%,16.3%,134.22,12.20,59.01
74,新潟・芝2000,  8-  7-  3- 23/ 41,19.5%,36.6%,43.9%,68,65,71.2,5.0着,2.5人気,6.6,349,150,0,0.0%,17.1%,7.3%,123.13,12.31,58.48
75,新潟・芝1200,  8-  7-  3- 27/ 45,17.8%,33.3%,40.0%,63,70,78.9,5.4着,2.8人気,6.8,356,175,0,0.0%,15.6%,6.7%,70.22,11.70,61.52
76,函館・芝2000,  8-  6-  8- 21/ 43,18.6%,32.6%,51.2%,50,77,68.8,4.7着,2.9人気,6.9,271,152,0,0.0%,14.0%,18.6%,121.32,12.13,59.35
77,新潟・芝2200,  8-  6-  2- 13/ 29,27.6%,48.3%,55.2%,62,72,85.7,4.2着,2.5人気,5.3,225,132,0,0.0%,20.7%,6.9%,134.48,12.23,58.90
78,阪神・芝2200,  8-  5-  0- 13/ 26,30.8%,50.0%,50.0%,100,68,112.8,5.3着,2.5人気,5.5,326,138,0,0.0%,19.2%,0.0%,133.51,12.14,59.32
79,中山・障2880ダ,  8-  4-  4- 22/ 38,21.1%,31.6%,42.1%,43,56,61.7,4.9着,2.1人気,7.1,205,133,0,0.0%,10.5%,10.5%,197.75,13.73,52.43
80,新潟・障2850芝,  7-  8-  2- 15/ 32,21.9%,46.9%,53.1%,45,70,61.0,4.3着,1.9人気,4.4,210,134,0,0.0%,25.0%,6.3%,188.67,13.24,54.38
81,京都・芝2200外,  6- 10-  9- 26/ 51,11.8%,31.4%,49.0%,49,90,60.3,4.7着,3.4人気,7.9,423,185,0,0.0%,19.6%,17.6%,134.15,12.20,59.04
82,京都・芝1400,  6-  8-  3- 24/ 41,14.6%,34.1%,41.5%,51,71,58.3,5.4着,2.8人気,6.0,353,174,0,0.0%,19.5%,7.3%,82.39,11.77,61.17
