順位,コース,着別度数,勝率,連対率,複勝率,単勝回収値,複勝回収値,単勝適正回収値,平均着順,平均人気,平均単勝オッズ,単勝平均,複勝平均,マーク数,マーク率,２着率,３着率,平均タイム,平均1Fタイム,平均速度
1,中山・ダ1800, 60- 36- 43-284/423,14.2%,22.7%,32.9%,122,74,94.2,6.0着,4.7人気,21.6,862,229,0,0.0%,8.5%,10.2%,115.96,12.88,55.88
2,中山・ダ1200, 49- 45- 37-236/367,13.4%,25.6%,35.7%,72,79,86.6,6.0着,4.9人気,23.4,546,221,0,0.0%,12.3%,10.1%,72.64,12.11,59.47
3,阪神・ダ1800, 44- 28- 33-165/270,16.3%,26.7%,38.9%,128,90,98.9,5.4着,4.4人気,18.0,786,238,0,0.0%,10.4%,12.2%,115.29,12.81,56.21
4,東京・ダ1600, 43- 37- 40-212/332,13.0%,24.1%,36.1%,62,77,76.9,5.8着,4.4人気,16.2,485,215,0,0.0%,11.1%,12.0%,98.49,12.31,58.48
5,京都・ダ1800, 42- 48- 47-253/390,10.8%,23.1%,35.1%,61,74,66.6,5.8着,4.7人気,23.5,570,217,0,0.0%,12.3%,12.1%,114.75,12.75,56.47
6,小倉・芝1200, 32- 23- 27-149/231,13.9%,23.8%,35.5%,109,90,90.5,5.9着,4.6人気,13.5,790,257,0,0.0%,10.0%,11.7%,69.65,11.61,62.03
7,東京・芝1600, 31- 32- 29-118/210,14.8%,30.0%,43.8%,88,97,96.7,5.2着,4.5人気,20.8,601,227,0,0.0%,15.2%,13.8%,94.66,11.83,60.85
8,中山・芝1600, 30- 20- 21-130/201,14.9%,24.9%,35.3%,83,82,96.6,5.6着,4.6人気,17.6,559,236,0,0.0%,10.0%,10.4%,94.94,11.87,60.67
9,小倉・ダ1700, 29- 28- 20-110/187,15.5%,30.5%,41.2%,92,104,96.7,5.5着,4.5人気,13.5,598,253,0,0.0%,15.0%,10.7%,106.52,12.53,57.45
10,中京・ダ1800, 28- 31- 24-121/204,13.7%,28.9%,40.7%,73,87,89.5,5.3着,4.5人気,18.7,535,215,0,0.0%,15.2%,11.8%,115.09,12.79,56.30
11,京都・ダ1400, 28- 30- 26-165/249,11.2%,23.3%,33.7%,70,79,74.6,5.8着,4.6人気,17.1,629,237,0,0.0%,12.0%,10.4%,86.02,12.29,58.59
12,東京・芝1800, 27- 25- 18-121/191,14.1%,27.2%,36.6%,128,85,93.8,5.7着,4.8人気,24.9,907,241,0,0.0%,13.1%,9.4%,107.91,11.99,60.05
13,福島・ダ1700, 26- 29- 22-101/178,14.6%,30.9%,43.3%,115,107,90.5,5.0着,4.4人気,12.9,788,248,0,0.0%,16.3%,12.4%,107.30,12.62,57.04
14,中山・芝2000, 26- 19- 18- 91/154,16.9%,29.2%,40.9%,121,94,106.3,5.3着,4.5人気,17.2,722,230,0,0.0%,12.3%,11.7%,121.56,12.16,59.23
15,東京・ダ1400, 25- 27- 25-213/290,8.6%,17.9%,26.6%,67,62,64.7,6.5着,5.0人気,21.9,786,237,0,0.0%,9.3%,8.6%,86.04,12.29,58.58
16,新潟・ダ1800, 24- 29- 22-146/221,10.9%,24.0%,33.9%,36,71,66.8,5.9着,4.5人気,17.5,336,211,0,0.0%,13.1%,10.0%,115.25,12.81,56.22
17,札幌・ダ1700, 24- 23- 12- 95/154,15.6%,30.5%,38.3%,84,74,94.4,5.3着,4.2人気,12.5,540,199,0,0.0%,14.9%,7.8%,107.39,12.63,56.99
18,福島・芝1200, 24- 17- 14-113/168,14.3%,24.4%,32.7%,72,66,91.4,6.2着,4.5人気,15.4,506,207,0,0.0%,10.1%,8.3%,70.17,11.70,61.56
19,京都・ダ1200, 23- 23- 25-127/198,11.6%,23.2%,35.9%,66,82,76.8,6.1着,4.9人気,19.9,569,229,0,0.0%,11.6%,12.6%,73.20,12.20,59.02
20,新潟・ダ1200, 23-  9- 17-125/174,13.2%,18.4%,28.2%,85,58,84.8,6.3着,4.6人気,14.9,645,208,0,0.0%,5.2%,9.8%,72.97,12.16,59.20
21,東京・芝2000, 21- 14- 15- 76/126,16.7%,27.8%,39.7%,68,71,100.0,5.0着,4.4人気,24.5,413,180,0,0.0%,11.1%,11.9%,121.04,12.10,59.48
22,阪神・芝1600外, 21-  8- 18- 84/131,16.0%,22.1%,35.9%,183,86,106.3,5.4着,4.6人気,14.7,1146,251,0,0.0%,6.1%,13.7%,94.60,11.82,60.89
23,函館・芝1200, 20- 15- 13- 77/125,16.0%,28.0%,38.4%,174,99,106.6,5.7着,4.7人気,17.7,1093,265,0,0.0%,12.0%,10.4%,69.66,11.61,62.01
24,小倉・芝1800, 20- 11- 15- 78/124,16.1%,25.0%,37.1%,78,83,99.9,5.4着,4.3人気,14.6,486,226,0,0.0%,8.9%,12.1%,109.51,12.17,59.17
25,阪神・ダ1200, 19- 10- 13- 84/126,15.1%,23.0%,33.3%,89,81,99.3,6.3着,4.6人気,21.6,592,245,0,0.0%,7.9%,10.3%,73.33,12.22,58.91
26,東京・芝1400, 17- 29- 13- 97/156,10.9%,29.5%,37.8%,63,75,74.1,5.6着,4.6人気,20.5,582,200,0,0.0%,18.6%,8.3%,82.15,11.74,61.35
27,京都・芝2000, 17- 26- 17- 93/153,11.1%,28.1%,39.2%,44,67,67.2,5.2着,4.3人気,18.4,399,179,0,0.0%,17.0%,11.1%,121.84,12.18,59.09
28,東京・芝2400, 17- 18-  9- 48/ 92,18.5%,38.0%,47.8%,119,105,112.0,4.5着,4.3人気,18.9,645,226,0,0.0%,19.6%,9.8%,146.34,12.20,59.04
29,中山・芝1800, 17- 10- 12- 62/101,16.8%,26.7%,38.6%,110,114,108.3,5.5着,4.5人気,16.3,657,304,0,0.0%,9.9%,11.9%,109.20,12.13,59.34
