順位,コース,着別度数,勝率,連対率,複勝率,単勝回収値,複勝回収値,単勝適正回収値,平均着順,平均人気,平均単勝オッズ,単勝平均,複勝平均,マーク数,マーク率,２着率,３着率,平均タイム,平均1Fタイム,平均速度
1,中山・ダ1800, 63- 59- 51-265/438,14.40%,27.90%,39.50%,85,81,84.4,5.8着,4.5人気,17.1,591,205,0,0.00%,13.50%,11.60%,115.87,12.87,55.92
2,京都・ダ1800, 58- 54- 45-232/389,14.90%,28.80%,40.40%,75,79,78.8,5.4着,4.2人気,15.8,506,197,0,0.00%,13.90%,11.60%,114.69,12.74,56.5
3,東京・ダ1600, 49- 36- 41-222/348,14.10%,24.40%,36.20%,89,75,87.4,6.1着,4.8人気,21.5,639,209,0,0.00%,10.30%,11.80%,98.63,12.33,58.4
4,中山・ダ1200, 46- 44- 50-240/380,12.10%,23.70%,36.80%,69,85,74.1,6.1着,4.7人気,18.8,577,233,0,0.00%,11.60%,13.20%,72.7,12.12,59.42
5,東京・ダ1400, 46- 34- 31-180/291,15.80%,27.50%,38.10%,90,92,95.2,6.1着,4.6人気,17.2,575,243,0,0.00%,11.70%,10.70%,85.93,12.28,58.65
6,阪神・ダ1800, 37- 47- 37-166/287,12.90%,29.30%,42.20%,56,91,70.3,5.4着,4.0人気,12.9,442,218,0,0.00%,16.40%,12.90%,115.22,12.8,56.24
7,小倉・芝1200, 37- 20- 25-145/227,16.30%,25.10%,36.10%,164,92,105.9,6.2着,4.7人気,15.4,1009,261,0,0.00%,8.80%,11.00%,69.75,11.63,61.93
8,新潟・ダ1800, 36- 26- 37-130/229,15.70%,27.10%,43.20%,98,100,87.1,5.6着,4.3人気,13.4,629,233,0,0.00%,11.40%,16.20%,115.12,12.79,56.29
9,京都・ダ1400, 34- 27- 26-159/246,13.80%,24.80%,35.40%,69,69,91.8,6.2着,5.0人気,18.2,501,203,0,0.00%,11.00%,10.60%,86.05,12.29,58.57
10,東京・芝1800, 32- 20- 16-115/183,17.50%,28.40%,37.20%,105,69,105.7,5.4着,4.3人気,19.6,603,186,0,0.00%,10.90%,8.70%,107.88,11.99,60.07
11,小倉・ダ1700, 30- 24- 18-129/201,14.90%,26.90%,35.80%,87,86,90.1,6.2着,4.4人気,13.1,588,243,0,0.00%,11.90%,9.00%,106.89,12.58,57.25
12,中京・ダ1800, 28- 27- 26-131/212,13.20%,25.90%,38.20%,69,89,77.3,5.6着,4.3人気,15.9,527,235,0,0.00%,12.70%,12.30%,115.26,12.81,56.22
13,東京・芝1600, 27- 24- 22-146/219,12.30%,23.30%,33.30%,54,76,84.9,5.7着,5.0人気,23.3,443,231,0,0.00%,11.00%,10.00%,94.75,11.84,60.79
14,阪神・ダ1400, 27- 18- 25-107/177,15.30%,25.40%,39.50%,68,82,94.5,6.1着,4.7人気,19.1,450,210,0,0.00%,10.20%,14.10%,85.99,12.28,58.61
15,中山・芝2000, 27- 18- 15-101/161,16.80%,28.00%,37.30%,90,80,101.7,5.9着,4.6人気,19.7,539,222,0,0.00%,11.20%,9.30%,121.61,12.16,59.21
16,札幌・ダ1700, 27- 16- 20- 94/157,17.20%,27.40%,40.10%,98,92,104.2,5.4着,4.6人気,14.3,573,235,0,0.00%,10.20%,12.70%,107.49,12.65,56.93
17,京都・ダ1200, 26- 30- 26-112/194,13.40%,28.90%,42.30%,135,122,87.3,5.8着,4.7人気,15.9,1014,289,0,0.00%,15.50%,13.40%,73.11,12.19,59.09
18,函館・芝1200, 26- 19- 13- 77/135,19.30%,33.30%,43.00%,113,94,100.6,5.1着,4.0人気,10.9,589,224,0,0.00%,14.10%,9.60%,69.56,11.59,62.1
19,京都・芝1800外, 25- 22- 17- 70/134,18.70%,35.10%,47.80%,71,104,100.4,4.8着,4.3人気,14.1,383,223,0,0.00%,16.40%,12.70%,107.84,11.98,60.09
20,中京・芝2000, 23- 21-  9- 89/142,16.20%,31.00%,37.30%,83,66,95.5,4.9着,4.1人気,13.5,513,186,0,0.00%,14.80%,6.30%,121.81,12.18,59.11
21,京都・芝2000, 23- 20- 14- 97/154,14.90%,27.90%,37.00%,62,62,80.6,5.2着,4.1人気,13.9,420,172,0,0.00%,13.00%,9.10%,121.73,12.17,59.15
22,阪神・芝1600外, 23- 15- 13- 84/135,17.00%,28.10%,37.80%,165,93,109.6,5.8着,4.7人気,16.1,969,252,0,0.00%,11.10%,9.60%,94.61,11.83,60.88
23,新潟・ダ1200, 23- 14- 23-119/179,12.80%,20.70%,33.50%,91,77,89.8,6.2着,4.7人気,14.8,714,232,0,0.00%,7.80%,12.80%,72.91,12.15,59.25
24,中山・芝1600, 22- 23- 32-126/203,10.80%,22.20%,37.90%,53,89,71.1,5.9着,4.8人気,17.4,493,236,0,0.00%,11.30%,15.80%,94.92,11.87,60.68
25,中京・芝1600, 22- 11- 17- 69/119,18.50%,27.70%,42.00%,108,91,105.6,5.4着,4.2人気,13.2,589,218,0,0.00%,9.20%,14.30%,95.14,11.89,60.54
26,福島・芝1200, 21- 22- 15-113/171,12.30%,25.10%,33.90%,62,81,77.9,6.2着,4.8人気,16.8,508,242,0,0.00%,12.90%,8.80%,70.15,11.69,61.58
27,東京・芝1400, 21- 18- 20-102/161,13.00%,24.20%,36.60%,88,81,81.1,5.7着,4.7人気,19.2,675,224,0,0.00%,11.20%,12.40%,82.14,11.73,61.36
28,福島・ダ1700, 21- 14- 25-117/177,11.90%,19.80%,33.90%,94,75,76.7,5.8着,4.5人気,13.3,792,224,0,0.00%,7.90%,14.10%,107.57,12.66,56.89
29,小倉・芝1800, 19- 19- 12- 79/129,14.70%,29.50%,38.80%,111,82,93.3,5.6着,4.6人気,14.4,758,217,0,0.00%,14.70%,9.30%,109.56,12.17,59.14
30,阪神・ダ1200, 19- 16- 11- 90/136,14.00%,25.70%,33.80%,90,74,90.4,6.1着,4.7人気,16.5,649,226,0,0.00%,11.80%,8.10%,73.27,12.21,58.96
31,阪神・芝2000, 18-  9- 17- 56/100,18.00%,27.00%,44.00%,101,79,94.4,4.7着,4.3人気,18.4,564,205,0,0.00%,9.00%,17.00%,121.24,12.12,59.39
32,東京・芝2000, 17- 21- 14- 78/130,13.10%,29.20%,40.00%,54,75,75.6,4.9着,4.3人気,19.6,416,200,0,0.00%,16.20%,10.80%,120.99,12.1,59.51
33,札幌・芝1200, 17-  8- 11- 37/ 73,23.30%,34.20%,49.30%,158,106,118.1,5.4着,3.8人気,8.9,679,216,0,0.00%,11.00%,15.10%,69.88,11.65,61.82
34,福島・ダ1150, 16- 15-  9- 74/114,14.00%,27.20%,35.10%,75,87,104.2,5.7着,5.2人気,19.1,536,250,0,0.00%,13.20%,7.90%,69.58,12.1,59.5
35,中京・ダ1400, 16- 14- 22- 98/150,10.70%,20.00%,34.70%,95,79,74.6,6.5着,4.9人気,16.4,898,230,0,0.00%,9.30%,14.70%,85.88,12.27,58.69
36,東京・芝2400, 16- 10- 15- 47/ 88,18.20%,29.50%,46.60%,76,94,104.3,4.8着,4.1人気,12.6,421,207,0,0.00%,11.40%,17.00%,146.34,12.19,59.04
37,京都・芝1600外, 16-  7- 10- 55/ 88,18.20%,26.10%,37.50%,120,86,116.6,5.9着,4.6人気,14.6,663,237,0,0.00%,8.00%,11.40%,94.08,11.76,61.22
38,阪神・芝1800外, 16-  3- 12- 54/ 85,18.80%,22.40%,36.50%,91,68,99.4,5.0着,3.8人気,12.5,485,195,0,0.00%,3.50%,14.10%,107.1,11.9,60.51
39,中山・芝1200, 15- 11- 18- 62/106,14.20%,24.50%,41.50%,81,94,85,5.6着,4.7人気,14.7,578,227,0,0.00%,10.40%,17.00%,68.78,11.46,62.81
40,新潟・芝1600外, 15-  9- 14- 48/ 86,17.40%,27.90%,44.20%,82,95,92.3,5.7着,4.5人気,16.1,473,223,0,0.00%,10.50%,16.30%,95.44,11.93,60.35
41,京都・ダ1900, 14- 17-  9- 65/105,13.30%,29.50%,38.10%,76,85,79.5,5.0着,4.3人気,13,577,229,0,0.00%,16.20%,8.60%,120.95,12.73,56.55
42,福島・芝1800, 14- 13-  9- 64/100,14.00%,27.00%,36.00%,159,89,83.6,5.8着,4.3人気,14.4,1142,249,0,0.00%,13.00%,9.00%,109.41,12.16,59.22
43,京都・芝1600, 14- 12-  7- 77/110,12.70%,23.60%,30.00%,59,58,88.9,5.7着,5.0人気,17.9,466,200,0,0.00%,10.90%,6.40%,95.68,11.96,60.2
44,福島・芝2000, 14- 11- 14- 52/ 91,15.40%,27.50%,42.90%,86,98,98.9,5.7着,4.6人気,14.7,562,229,0,0.00%,12.10%,15.40%,121.65,12.16,59.19
45,小倉・芝2000, 14-  5- 12- 89/120,11.70%,15.80%,25.80%,63,55,74.9,6.5着,4.6人気,12.4,540,215,0,0.00%,4.20%,10.00%,122.39,12.24,58.83
46,新潟・芝1800外, 13- 17- 10- 66/106,12.30%,28.30%,37.70%,42,73,75.9,5.7着,4.7人気,20.8,349,195,0,0.00%,16.00%,9.40%,108.55,12.06,59.7
47,函館・ダ1700, 13- 15-  6- 76/110,11.80%,25.50%,30.90%,32,59,65.4,5.9着,4.4人気,17.7,277,193,0,0.00%,13.60%,5.50%,106.59,12.54,57.42
48,京都・芝1400外, 13- 12-  7- 48/ 80,16.30%,31.30%,40.00%,127,102,99,5.1着,4.5人気,11.4,782,257,0,0.00%,15.00%,8.80%,81.58,11.65,61.78
49,中京・芝1400, 13- 11- 10- 62/ 96,13.50%,25.00%,35.40%,71,70,85.9,6.3着,4.8人気,14.4,526,205,0,0.00%,11.50%,10.40%,81.86,11.69,61.57
50,阪神・芝1400, 13-  9-  6- 44/ 72,18.10%,30.60%,38.90%,87,72,115.7,5.6着,4.2人気,13.1,485,188,0,0.00%,12.50%,8.30%,81.56,11.65,61.79
51,中京・ダ1200, 12- 15- 11- 63/101,11.90%,26.70%,37.60%,67,116,69.4,5.6着,4.7人気,16.4,572,310,0,0.00%,14.90%,10.90%,72.9,12.15,59.26
