順位,コース,着別度数,勝率,連対率,複勝率,単勝回収値,複勝回収値
1,中山・ダ1800, 32- 32- 24-112/200,16.0%,32.0%,44.0%,98,85
2,京都・ダ1800, 27- 31- 23-105/186,14.5%,31.2%,43.5%,60,83
3,東京・ダ1600, 26- 16- 19- 94/155,16.8%,27.1%,39.4%,85,74
4,中山・ダ1200, 25- 16- 24-112/177,14.1%,23.2%,36.7%,59,79
5,阪神・ダ1800, 21- 25- 13- 79/138,15.2%,33.3%,42.8%,70,83
6,東京・ダ1400, 21- 18- 19- 64/122,17.2%,32.0%,47.5%,93,106
7,小倉・芝1200, 18- 12- 11- 55/ 96,18.8%,31.3%,42.7%,139,109
8,中京・ダ1800, 15- 20- 10- 51/ 96,15.6%,36.5%,46.9%,63,107
9,京都・ダ1400, 15- 14- 16- 63/108,13.9%,26.9%,41.7%,62,84
10,新潟・ダ1800, 15- 10- 14- 48/ 87,17.2%,28.7%,44.8%,97,109
11,京都・芝1800外, 14- 12- 11- 30/ 67,20.9%,38.8%,55.2%,75,102
12,中京・芝2000, 14-  9-  4- 45/ 72,19.4%,31.9%,37.5%,123,70
13,東京・芝1800, 14-  7-  7- 56/ 84,16.7%,25.0%,33.3%,104,63
14,中山・芝1600, 13- 13- 12- 46/ 84,15.5%,31.0%,45.2%,73,105
15,阪神・ダ1400, 13- 12- 15- 44/ 84,15.5%,29.8%,47.6%,66,104
16,京都・芝2000, 13- 10-  7- 45/ 75,17.3%,30.7%,40.0%,89,67
17,小倉・ダ1700, 13-  8-  8- 52/ 81,16.0%,25.9%,35.8%,121,84
18,新潟・ダ1200, 12-  7- 12- 45/ 76,15.8%,25.0%,40.8%,131,98
19,阪神・芝1600外, 12-  6-  8- 43/ 69,17.4%,26.1%,37.7%,120,82
20,東京・芝1600, 11-  7- 13- 71/102,10.8%,17.6%,30.4%,50,62
21,中京・芝1600, 11-  5-  8- 26/ 50,22.0%,32.0%,48.0%,126,86
22,札幌・ダ1700, 10-  7-  5- 31/ 53,18.9%,32.1%,41.5%,108,93
23,福島・ダ1150, 10-  6-  6- 29/ 51,19.6%,31.4%,43.1%,122,114
24,阪神・芝1800外, 10-  3-  9- 30/ 52,19.2%,25.0%,42.3%,108,79
25,東京・芝1400, 10-  3-  7- 46/ 66,15.2%,19.7%,30.3%,90,58
26,京都・ダ1200,  9- 14- 12- 50/ 85,10.6%,27.1%,41.2%,82,82
27,函館・芝1200,  9-  9-  8- 26/ 52,17.3%,34.6%,50.0%,57,108
28,阪神・ダ1200,  9-  9-  6- 35/ 59,15.3%,30.5%,40.7%,104,83
29,中山・芝2000,  9-  8-  7- 43/ 67,13.4%,25.4%,35.8%,64,69
30,福島・ダ1700,  9-  6- 11- 48/ 74,12.2%,20.3%,35.1%,54,67
31,京都・ダ1900,  9-  6-  5- 27/ 47,19.1%,31.9%,42.6%,112,87
32,京都・芝1600外,  9-  4-  6- 25/ 44,20.5%,29.5%,43.2%,77,76
33,新潟・芝1800外,  8- 10-  1- 27/ 46,17.4%,39.1%,41.3%,44,78
34,福島・芝1800,  8-  6-  6- 24/ 44,18.2%,31.8%,45.5%,309,123
35,京都・芝1600,  8-  5-  4- 30/ 47,17.0%,27.7%,36.2%,86,79
36,小倉・芝2000,  8-  1-  6- 40/ 55,14.5%,16.4%,27.3%,93,58
37,福島・芝1200,  7- 13-  7- 43/ 70,10.0%,28.6%,38.6%,51,107
38,中山・芝1200,  7-  8- 10- 24/ 49,14.3%,30.6%,51.0%,80,102
39,阪神・芝2000,  7-  7- 13- 17/ 44,15.9%,31.8%,61.4%,111,95
40,新潟・芝1600外,  7-  6-  8- 21/ 42,16.7%,31.0%,50.0%,78,106
41,函館・ダ1700,  7-  6-  3- 24/ 40,17.5%,32.5%,40.0%,36,66
42,阪神・芝1400,  7-  5-  3- 24/ 39,17.9%,30.8%,38.5%,80,70
43,新潟・芝1400,  7-  1-  2- 27/ 37,18.9%,21.6%,27.0%,133,61
44,東京・芝2000,  6-  8-  9- 37/ 60,10.0%,23.3%,38.3%,62,67
45,東京・芝2400,  6-  8-  6- 19/ 39,15.4%,35.9%,51.3%,61,78
46,小倉・芝1800,  6-  8-  4- 26/ 44,13.6%,31.8%,40.9%,58,78
47,中京・芝1400,  6-  6-  2- 26/ 40,15.0%,30.0%,35.0%,53,62
48,中京・芝2200,  6-  5-  4- 12/ 27,22.2%,40.7%,55.6%,72,98
49,札幌・芝1200,  6-  4-  9- 15/ 34,17.6%,29.4%,55.9%,91,119
50,小倉・ダ1000,  6-  2-  6- 28/ 42,14.3%,19.0%,33.3%,60,66
51,東京・ダ1300,  6-  2-  2- 19/ 29,20.7%,27.6%,34.5%,138,66
52,中京・ダ1200,  5-  8-  7- 23/ 43,11.6%,30.2%,46.5%,43,124
53,東京・ダ2100,  5-  8-  4- 32/ 49,10.2%,26.5%,34.7%,58,60
54,福島・芝2000,  5-  7-  8- 17/ 37,13.5%,32.4%,54.1%,59,119
55,京都・芝1400外,  5-  7-  2- 21/ 35,14.3%,34.3%,40.0%,63,70
56,中京・ダ1400,  5-  6- 15- 38/ 64,7.8%,17.2%,40.6%,40,88
57,札幌・芝1800,  5-  6-  4- 20/ 35,14.3%,31.4%,42.9%,106,100
58,京都・芝1400,  5-  3-  4-  8/ 20,25.0%,40.0%,60.0%,153,128
59,新潟・芝2000,  5-  2-  2-  6/ 15,33.3%,46.7%,60.0%,167,110
60,中山・芝2500,  5-  2-  1- 11/ 19,26.3%,36.8%,42.1%,141,64
61,中山・芝1800,  4-  6-  8- 26/ 44,9.1%,22.7%,40.9%,20,86
62,新潟・芝2000外,  4-  5-  4-  7/ 20,20.0%,45.0%,65.0%,108,113
63,中京・ダ1900,  4-  5-  3- 12/ 24,16.7%,37.5%,50.0%,163,117
64,中山・芝2200,  4-  2-  3- 19/ 28,14.3%,21.4%,32.1%,75,71
65,阪神・芝2400外,  4-  1-  5-  8/ 18,22.2%,27.8%,55.6%,137,95
66,新潟・芝2400,  4-  0-  0-  2/  6,66.7%,66.7%,66.7%,400,153
67,京都・芝1200,  3-  6-  4- 17/ 30,10.0%,30.0%,43.3%,76,113
68,函館・芝1800,  3-  5-  2- 11/ 21,14.3%,38.1%,47.6%,23,100
69,福島・芝2600,  3-  3-  5-  7/ 18,16.7%,33.3%,61.1%,115,131
70,阪神・芝1200,  3-  3-  1- 16/ 23,13.0%,26.1%,30.4%,52,60
71,小倉・芝2600,  3-  2-  3-  6/ 14,21.4%,35.7%,57.1%,111,97
72,札幌・芝1500,  3-  1-  3- 16/ 23,13.0%,17.4%,30.4%,41,54
73,函館・芝2000,  3-  1-  2-  9/ 15,20.0%,26.7%,40.0%,155,96
74,新潟・芝1200,  3-  1-  0- 12/ 16,18.8%,25.0%,25.0%,61,46
75,中京・芝1200,  2-  6-  1- 14/ 23,8.7%,34.8%,39.1%,26,94
76,京都・芝2400外,  2-  5-  2- 13/ 22,9.1%,31.8%,40.9%,23,73
77,新潟・芝1000,  2-  2-  6- 16/ 26,7.7%,15.4%,38.5%,85,90
78,札幌・芝2000,  2-  2-  2- 11/ 17,11.8%,23.5%,35.3%,32,59
79,中山・ダ2400,  2-  2-  2-  3/  9,22.2%,44.4%,66.7%,74,120
80,京都・芝2200外,  2-  2-  0- 15/ 19,10.5%,21.1%,21.1%,78,41
81,小倉・障2860芝,  2-  0-  2- 28/ 32,6.3%,6.3%,12.5%,208,39
82,札幌・ダ1000,  2-  0-  1- 11/ 14,14.3%,14.3%,21.4%,48,24
83,阪神・ダ2000,  1-  3-  2- 13/ 19,5.3%,21.1%,31.6%,12,56
84,函館・ダ1000,  1-  2-  5- 14/ 22,4.5%,13.6%,36.4%,38,55
85,新潟・芝2200,  1-  2-  1-  8/ 12,8.3%,25.0%,33.3%,180,91
86,中山・障2880ダ,  1-  0-  1- 21/ 23,4.3%,4.3%,8.7%,11,33
87,新潟・障2890芝,  1-  0-  1-  9/ 11,9.1%,9.1%,18.2%,30,30
88,小倉・ダ2400,  1-  0-  0-  2/  3,33.3%,33.3%,33.3%,76,40
89,函館・ダ2400,  1-  0-  0-  1/  2,50.0%,50.0%,50.0%,150,80
90,京都・障3170ダ,  1-  0-  0-  2/  3,33.3%,33.3%,33.3%,70,36
91,中山・ダ2500,  1-  0-  0-  1/  2,50.0%,50.0%,50.0%,120,70
92,阪神・芝2600外,  1-  0-  0-  1/  2,50.0%,50.0%,50.0%,120,75
93,中山・障4250芝,  1-  0-  0-  0/  1,100.0%,100.0%,100.0%,1220,720
94,中山・障3210芝,  1-  0-  0-  0/  1,100.0%,100.0%,100.0%,160,110
95,京都・障3170芝,  1-  0-  0-  0/  1,100.0%,100.0%,100.0%,1780,280
96,札幌・芝2600,  0-  2-  2-  4/  8,0.0%,25.0%,50.0%,0,85
97,阪神・障2970ダ,  0-  1-  1- 10/ 12,0.0%,8.3%,16.7%,0,76
98,阪神・芝2200,  0-  1-  1-  7/  9,0.0%,11.1%,22.2%,0,46
99,新潟・障2850芝,  0-  1-  1- 15/ 17,0.0%,5.9%,11.8%,0,74
100,阪神・芝3000,  0-  1-  1-  1/  3,0.0%,33.3%,66.7%,0,173
101,中京・障3000芝,  0-  1-  0-  5/  6,0.0%,16.7%,16.7%,0,405
102,福島・障3380芝,  0-  1-  0-  1/  2,0.0%,50.0%,50.0%,0,200
103,東京・芝2300,  0-  1-  0-  0/  1,0.0%,100.0%,100.0%,0,160
104,札幌・ダ2400,  0-  1-  0-  0/  1,0.0%,100.0%,100.0%,0,150
105,京都・障2910ダ,  0-  0-  1-  8/  9,0.0%,0.0%,11.1%,0,21
106,福島・障2750芝,  0-  0-  1- 10/ 11,0.0%,0.0%,9.1%,0,20
107,中山・障3200ダ,  0-  0-  1-  2/  3,0.0%,0.0%,33.3%,0,73
108,阪神・障3110ダ,  0-  0-  1-  1/  2,0.0%,0.0%,50.0%,0,175
109,中京・障3300芝,  0-  0-  1-  2/  3,0.0%,0.0%,33.3%,0,70
