順位,コース,着別度数,勝率,連対率,複勝率,単勝回収値,複勝回収値,単勝適正回収値,平均着順,平均人気,平均単勝オッズ,単勝平均,複勝平均,マーク数,マーク率,２着率,３着率,平均タイム,平均1Fタイム,平均速度
1,中山・ダ1800, 71- 57- 46-272/446,15.9%,28.7%,39.0%,100,75,92.3,5.7着,4.4人気,15.8,630,194,0,0.0%,12.8%,10.3%,115.82,12.87,55.95
2,京都・ダ1800, 59- 54- 51-233/397,14.9%,28.5%,41.3%,68,84,80.1,5.4着,4.2人気,15.1,464,203,0,0.0%,13.6%,12.8%,114.80,12.76,56.44
3,東京・ダ1600, 49- 39- 44-218/350,14.0%,25.1%,37.7%,94,80,86.3,6.1着,4.8人気,22.1,672,213,0,0.0%,11.1%,12.6%,98.64,12.33,58.39
4,中山・ダ1200, 48- 44- 47-246/385,12.5%,23.9%,36.1%,70,81,73.1,5.9着,4.4人気,14.9,567,229,0,0.0%,11.4%,12.2%,72.69,12.11,59.43
5,東京・ダ1400, 46- 32- 29-185/292,15.8%,26.7%,36.6%,88,85,97.2,6.2着,4.7人気,16.4,561,233,0,0.0%,11.0%,9.9%,85.98,12.28,58.62
6,小倉・芝1200, 39- 27- 21-149/236,16.5%,28.0%,36.9%,113,85,101.5,6.1着,4.5人気,14.3,689,234,0,0.0%,11.4%,8.9%,69.70,11.62,61.98
7,阪神・ダ1800, 38- 49- 36-170/293,13.0%,29.7%,42.0%,73,85,67.9,5.2着,3.9人気,11.3,568,204,0,0.0%,16.7%,12.3%,115.20,12.80,56.25
8,中京・ダ1800, 36- 31- 25-128/220,16.4%,30.5%,41.8%,89,87,88.5,5.3着,4.1人気,14.1,546,210,0,0.0%,14.1%,11.4%,115.12,12.79,56.29
9,小倉・ダ1700, 34- 23- 21-124/202,16.8%,28.2%,38.6%,108,94,95.5,5.8着,4.1人気,10.8,644,244,0,0.0%,11.4%,10.4%,106.71,12.55,57.35
10,新潟・ダ1800, 33- 26- 37-133/229,14.4%,25.8%,41.9%,80,100,83.8,5.6着,4.5人気,13.8,560,240,0,0.0%,11.4%,16.2%,115.05,12.78,56.32
11,東京・芝1800, 33- 20- 18-121/192,17.2%,27.6%,37.0%,90,73,113.6,5.4着,4.5人気,20.2,526,197,0,0.0%,10.4%,9.4%,107.82,11.98,60.10
12,新潟・ダ1200, 31- 15- 24-109/179,17.3%,25.7%,39.1%,127,91,112.9,5.7着,4.5人気,12.1,737,233,0,0.0%,8.4%,13.4%,72.79,12.13,59.35
13,京都・ダ1400, 28- 25- 35-168/256,10.9%,20.7%,34.4%,58,71,74.0,6.4着,4.9人気,16.7,535,217,0,0.0%,9.8%,13.7%,86.12,12.30,58.52
14,福島・ダ1700, 27- 15- 24-115/181,14.9%,23.2%,36.5%,116,82,94.1,5.8着,4.3人気,11.1,778,225,0,0.0%,8.3%,13.3%,107.58,12.66,56.89
15,京都・ダ1200, 26- 27- 26-115/194,13.4%,27.3%,40.7%,98,110,87.6,5.8着,4.6人気,14.6,734,272,0,0.0%,13.9%,13.4%,73.12,12.19,59.08
16,函館・芝1200, 26- 18- 16- 77/137,19.0%,32.1%,43.8%,112,97,104.4,5.0着,4.1人気,10.8,595,227,0,0.0%,13.1%,11.7%,69.52,11.59,62.14
17,中京・芝2000, 26- 17- 10- 95/148,17.6%,29.1%,35.8%,117,69,101.1,5.0着,4.1人気,13.5,666,198,0,0.0%,11.5%,6.8%,121.86,12.19,59.08
18,中山・芝2000, 25- 23- 22- 94/164,15.2%,29.3%,42.7%,94,87,85.2,5.4着,4.3人気,13.9,618,215,0,0.0%,14.0%,13.4%,121.56,12.16,59.23
